"uuid";"repository_link";"title";"title_exceprt";"description";"description_exceprt";"status";"publication_date";"publication_type";"pure_update";"filtered_keywords";"contributor_names";"contributor_affiliations";"contributor_roles"
"uuid:3ffa7f45-8631-4224-a16b-4e2be097e35b";"https://resolver.tudelft.nl/uuid:uuid:3ffa7f45-8631-4224-a16b-4e2be097e35b";"Intrinsic Plasticity for Robust Event-Based Optic Flow Estimation";"";"Event cameras and spiking neural networks (SNNs) allow for a highly bio-inspired, low-latency and power efficient implementation of optic flow estimation. Just recently, a hierarchical SNN was proposed in which motion selectivity is learned from raw event data in an unsupervised manner using spike-timing-dependent plasticity (STDP). However, real-life applications of this SNN are currently still limited by the fact that the exact choice of neuron parameters depends on the spatiotemporal properties of the input. Furthermore, tuning the network is a challenging task due to the high degree of coupling between the various parameters. Inspired by neurons in biological brains that modify their intrinsic parameters through a process called intrinsic plasticity, this research proposes update rules which adapt the voltage threshold and maximum synaptic delay during inference. This allows applying the already trained network to a wider range of operating conditions and simplifies the tuning process. Starting with a detailed parameter analysis, primary functions and undesired side effects are assigned to each parameter. The update rules are then designed in such a way as to eliminate these side effects. Unlike existing update rules for the voltage threshold, this work does not attempt to keep the firing activity of output neurons within a specific range, but instead aims to adjust the threshold such that only the correct output maps spike. In particular, the voltage threshold is adapted such that output spikes occur in no more than two maps per retinotopic location. The maximum synaptic delay is adapted such that the resulting apparent pixel velocities of the input match those of the data used during training. A sensitivity analysis is presented which illustrates the effects of newly introduced parameters on the network performance. Furthermore, the adapted network is tested on real event data recorded onboard a drone avoiding obstacles. Due to the difficulties in matching the output of the adapted SNN to the ground truth data, quantitative results are inconclusive. However, qualitative results show a clear improvement in both the density and correctness of optic flow estimates. ";"";"OPEN";"2022-7-13";"master thesis";"2025-12-02 13:53:12.779";"Optic flow estimation,computer vision,dynamic vision sensors,intrinsic plasticity,neuron adaptation,spike-timing dependent plasticity,spiking neural networks";"G.C.H.E. de Croon; J.J.G. Dupeyroux; Y. Eggers";"";"author; mentor"
"uuid:019566ca-34de-4ddd-87ac-86364ef2759b";"https://resolver.tudelft.nl/uuid:uuid:019566ca-34de-4ddd-87ac-86364ef2759b";"Obstacle Avoidance onboard MAVs using a FMCW RADAR";"Obstacle Avoidance onboard MAVs using a FMCW RADAR.";"Micro air vehicles (MAVs) are increasingly being considered for aerial tasks such as delivery of goods and surveillance due to their lightweight, compact design and manoeuvrability. To safely and reliably carry out these tasks and navigate to its objective, especially in complex and cluttered environments, the MAV is also required to sense and avoid (S&amp;A) obstacles. Due to the MAVs limitations in weight, power and processing power, vision systems usually prove ideal for sensing the environment, being a cheap, lightweight, power efficient and a rich source of information. They do however require adequate computational resources and most importantly, good visibility. When the environment does not host these conditions, for instance when flying though dust, smoke or fog, other sensors need to be utilised that can provide more robust sensing to ensure safe and reliable operation. Radar sensors are mostly unaffected by atmospheric conditions and have been used extensively in the aerospace industry for this purpose. These sensors were traditionally heavy and power hungry, only applicable on ground or in large craft. However other radar sensors have since come about that are more suited for use in small MAVs. Specifically, lightweight, power efficient and compact frequency modulated continuous wave (FMCW) radars have increasingly been used in advanced driver assistance systems as auxiliary sensors, however there has been little work to integrate them on MAVs. This sensor provides the range, horizontal bearing and radial velocity (Doppler shift) of any objects in the field of view, which can then be used for multi-target tracking (MTT) [38]. The major disadvantage of the sensor is the limited field of view (approximately 80 degrees horizontal) and noisy nature of the sensor, especially in cluttered environments. The challenge is to explore filtering, tracking and avoidance algorithm pipelines to extract meaningful information from the raw data and investigate the sensor’s effectiveness with respect to obstacle avoidance on MAVs. This will include algorithms such as data association, estimation and avoidance, as well as an investigation of neural networks to aid in processing the raw data and provide some filtering. This will be accomplished by integrating the sensor on a MAV and testing and tuning the algorithms both in real life (in the cyberzoo flying arena of the aerospace faculty), and using data gathered as part of an obstacle detection and avoidance dataset that was generated during this project. This will hopefully allow MAVs to operate safer, either using a standalone radar or integrated with other sensors. ";"";"OPEN";"2021-4-23";"master thesis";"2024-08-09 04:02:36.788";"";"F. Fioranelli; G.C.H.E. de Croon; J.J.G. Dupeyroux; N.M. Wessendorp";"";"author; graduation committee member; mentor"
"uuid:823d959a-17b8-4fd9-bc45-a0ace45d29ca";"https://resolver.tudelft.nl/uuid:uuid:823d959a-17b8-4fd9-bc45-a0ace45d29ca";"Insect-Inspired Visual Guidance";"Insect Inspired Visual Guidance.";"Insects have — over millions of years of evolution — perfected many of the systems that roboticists aim to achieve; they can swiftly and robustly navigate through diﬀerent environments under various conditions while at the same time being highly energy eﬃcient. To reach this level of performance and efficiency one might want to look at and take inspiration from how these insects achieve their feats. Currently, no dataset exists that allows bio-inspired navigation models to be evaluated over long real- life routes. We present a novel dataset containing omnidirectional event vision, frame-based vision, depth frames, inertial measurement (IMU) readings, and centimeter-accurate GNSS positioning over kilometer long stretches in and around the TUDelft campus. The dataset is used to evaluate familiarity-based insect-inspired neural navigation models on their performance over longer sequences. It demonstrates that current scene familiarity models are not suited for long-ranged navigation, at least not in their current form.";"";"OPEN";"2022-7-12";"master thesis";"2025-02-21 13:07:49.387";"Event- based Camera,GNSS,GPS,Long-range navigation,Neuromorphic systems,RGB Camera";"G.C.H.E. de Croon; J.J.G. Dupeyroux; J.K.N. Verheyen";"";"author; graduation committee member; mentor"
"uuid:9b68db7c-ac32-422e-8749-a8e0bc1fc4ca";"https://resolver.tudelft.nl/uuid:uuid:9b68db7c-ac32-422e-8749-a8e0bc1fc4ca";"Self-Supervised Monocular Depth Estimation of Untextured Indoor Rotated Scenes";"Self Supervised Monocular Depth Estimation of Untextured Indoor Rotated Scenes.";"Self-supervised deep learning methods have leveraged stereo images for training monocular depth estimation. Although these methods show strong results on outdoor datasets such as KITTI, they do not match performance of supervised methods on indoor environments with camera rotation. Indoor, rotated scenes are common for less constrained applications and pose problems for two reasons: abundance of low texture regions and increased complexity of depth cues for images under rotation. In an effort to extend self-supervised learning to more generalised environments we propose two additions. First, we propose a novel Filled Disparity Loss term that corrects for ambiguity of image reconstruction error loss in textureless regions. Specifically, we interpolate disparity in untextured regions, using the estimated disparity from surrounding textured areas, and use L1 loss to correct the original estimation. Our experiments show that depth estimation is substantially improved on low-texture scenes, without any loss on textured scenes, when compared to Monodepth by Godard et al. Secondly, we show that training with an application's representative rotations, in both pitch and roll, is sufficient to significantly improve performance over the entire range of expected rotation. We demonstrate that depth estimation is successfully generalised as performance is not lost when evaluated on test sets with no camera rotation. Together these developments enable a broader use of self-supervised learning of monocular depth estimation for complex environments.";"";"OPEN";"2021-7-7";"master thesis";"2025-02-20 05:25:43.889";"Depth Estimation,Self-supervision,Textureless";"B.D. Keltjens; E.J.J. Smeur; G.C.H.E. de Croon; J.C. van Gemert; Tom van Dijk";"";"author; graduation committee member; mentor"
"uuid:ea79f535-988a-4b92-9740-c6d183cb1f52";"https://resolver.tudelft.nl/uuid:uuid:ea79f535-988a-4b92-9740-c6d183cb1f52";"Reinforcement Learning for Landing the Variable Skew Quad Plane on a Moving Platform";"";" UAVs have become increasingly popular, finding applications in diverse areas such as military operations, search and rescue, delivery services, wireless communication, and aerial surveillance. A critical aspect of UAV operations is autonomous landing, especially on moving targets like ships, which presents significant challenges due to the dynamic and unpredictable maritime environment. This research explores the potential of reinforcement learning as a strategy for achieving optimal guidance during the autonomous landing process of the VSQP. The study illustrates that the reinforcement learning learning framework can effectively steer the VSQP, ensuring safe and accurate landings on a moving ship, and outperforming the benchmark controller in a more intelligent manner. The proposed approach not only improves landing performance but also extends the operational capability of the VSQP. ";"";"OPEN";"2024-8-14";"master thesis";"2025-09-01 00:05:43.116";"";"C. de Wagter; C.Y. YIKILMAZ; E.J.J. Smeur; F. De Domenico";"";"author; graduation committee member; mentor"
"uuid:35ad1e1c-a3c3-456a-a899-06dac1dc3398";"https://resolver.tudelft.nl/uuid:uuid:35ad1e1c-a3c3-456a-a899-06dac1dc3398";"Improving the Performance of INDI Flight Control for a Quadrotor in the Ceiling Effect";"Improving the Performance of INDI Flight Control for a Quadrotor in the Ceiling Effect.";"As the application areas of Unmanned Aerial Vehicles (UAVs) keep expanding, new flight areas are encountered more often. Small UAVs, named Micro Air Vehicles (MAVs), even fly in areas like sewage pipes. These areas introduce new difficulties such as aerodynamic effects caused by the ground and/or ceiling. In this paper two main contributions are presented that deal with the aerodynamic effects caused by the ceiling: 1) an adaptive  model  describing  the  ceiling  effect  using onboard measurements, which can be altered to describe other aerodynamic effects that occur when flying in constrained spaces, 2) incorporating the adaptive model into an Incremental Nonlinear Dynamic Inversion (INDI) controller. The controller is implemented and tested onto a MAV (Crazyflie). The results have shown stability improvements for close ceiling flight. Moreover the minimal distance the MAV can fly from the ceiling is decreased using the new controller.";"";"OPEN";"2021-10-17";"master thesis";"2025-02-21 08:32:02.231";"Ceiling effect,Controller,Crazyflie,INDI,Quadcopter,aerodynamic disturbance,parameter estimation";"C. de Wagter; E.J.J. Smeur; M.M. Kemmeren";"";"author; mentor"
"uuid:920aa240-24a5-4625-9a43-6eeac7f82bee";"https://resolver.tudelft.nl/uuid:uuid:920aa240-24a5-4625-9a43-6eeac7f82bee";"Learning Generalizable Policy for Obstacle-Aware Autonomous Drone Racing";"";"Autonomous drone racing has gained attention for its potential to push the boundaries of drone navigation technologies. While much of the existing research focuses on racing in obstacle-free environments, few studies have addressed the complexities of obstacle-aware racing, and approaches presented in these studies often suffer from overfitting, with learned policies generalizing poorly to new environments. This work addresses the challenge of developing a generalizable obstacle-aware drone racing policy using deep reinforcement learning. We propose applying domain randomization on racing tracks and obstacle configurations before every rollout, combined with parallel experience collection in randomized environments to achieve the goal. The proposed randomization strategy is shown to be effective through simulated experiments where drones reach speeds of up to 70 km/h, racing in unseen cluttered environments. This study serves as a stepping stone toward learning robust policies for obstacle-aware drone racing and general-purpose drone navigation in cluttered environments. Code is available at https://github.com/ErcBunny/IsaacGymEnvs. ";"";"OPEN";"2024-11-25";"master thesis";"2024-11-07 14:05:06.007";"Domain Randomization,Drone Racing,Integrated Planning and Control,Obstacle Avoidance,Reinforcement Learning";"C. de Wagter; E.J.J. Smeur; H.Y. Yu; S.J. Hulshoff; Y. Liu";"";"author; graduation committee member; mentor"
"uuid:578aa4a3-83cc-4f89-92d2-b68e4fd081d7";"https://resolver.tudelft.nl/uuid:uuid:578aa4a3-83cc-4f89-92d2-b68e4fd081d7";"Insect inspired visual homing via direct home vector prediction - a simulation study";"";"We conduct a simulation study of an insect-inspired navigation method that combines visual learning in a small area around a home location with path integration to successfully navigate over distances 8 to 10 times larger than the learning radius, while only requiring 6MB of memory. Our simulations show that the method is capable of learning with on-board data only and handling the noise levels and errors it may encounter in real-world conditions. Furthermore, we investigate the integration of online learning with a structured buffer to mitigate catastrophic forgetting, allowing continuous learning during flight. Additional experiments assess the system's generalization capabilities beyond the learned area, its robustness to small variations in pitch and roll, and the relationship between network size and the learnable area size.";"";"OPEN";"2024-11-5";"master thesis";"2025-07-17 02:59:00.564";"Autonomous Navigation Systems (ANS),Insect-inspired,MAV,UAV,Visual navigation,bio inspired,navigation";"C.J.M. Verhoeven; E.J.J. Smeur; G.C.H.E. de Croon; J.J. Hagenaars; M.R. Jankowski";"";"author; graduation committee member; mentor"
"uuid:995273bf-d7b7-403d-90ff-546634a673d8";"https://resolver.tudelft.nl/uuid:uuid:995273bf-d7b7-403d-90ff-546634a673d8";"Tactile Object Classification Using a Biomimetic Whisker Sensor Array and Spiking Neural Networks";"";"Robots operating in confined or visually degraded environments require sensing modalities that provide reliable close-range feedback. Biologically inspired whisker sensors address this need: passive and lightweight, they encode contact geometry through time-varying signals. Spiking neural networks (SNNs) form a natural processing counterpart — also biologically motivated, they perform sparse, event-driven computation that mirrors neural processing and promises energy-efficient inference on neuromorphic hardware. Despite this complementary fit, training data for neuromorphic tactile sensing remains scarce, and fully spiking architectures have not been evaluated on whisker-based classification, leaving their practical viability an open question.<br/>To address this gap, we collected two tactile datasets using a 10-whisker MEMS-based sensor array swept across three object geometries under varying contact conditions. A compact fully spiking network with 901 parameters achieved 100% test accuracy, outperforming larger spiking architectures; classification was reliable from as few as 20 timesteps of contact, and raw pressure signals alone were sufficient. Generalization experiments showed that sweep speed had minimal effect on performance, while indentation depth and sweep direction introduced larger domain shifts. Compared to a structurally equivalent non-spiking baseline, the spiking model matched classification accuracy with an estimated 9.5% reduction in overall inference energy under analog input and a potential 95% reduction under spike-encoded input.<br/>These results demonstrate the feasibility of a fully bio-inspired pipeline — from biomimetic whisker sensing to spiking neural inference — for tactile object classification.";"";"OPEN";"2026-4-22";"master thesis";"2026-04-15 13:06:08.654";"";"L. Ferranti; N. Tömen; S. Hamaza; T.J. van der Weij";"";"author; mentor"
"uuid:a164abc6-0103-4fa0-b7ac-c15bce2bce64";"https://resolver.tudelft.nl/uuid:uuid:a164abc6-0103-4fa0-b7ac-c15bce2bce64";"A lightweight quadrotor autonomy system";"";"These days, people see more and more applications for drones, including monitoring rainforests to protect plant and animal species. However, drones face challenges when navigating through the dense and cluttered vegetation of the forest. These environments necessitate advanced autonomous detection and navigation to make the drone traverse robustly and fly safely. In addition, the forest brings extra challenges, such as blocked signals for GPS localisation, remote control, and remote supervising.<br/><br/>In this thesis project, a drone is designed, built, and programmed to navigate autonomously in the rainforest with complete onboard computing and no GPS localisation. This 500-gram drone is being extensively tested and optimized in real forest conditions, and a dataset is being created from its autonomous flights to simulate various configurations of the path-planning algorithm. The results of these simulations on this dataset are then used for thorough research on how the algorithm can downscale to smaller systems and how this affects performance.<br/><br/>By using the results of this research on downscaling, a 100-gram drone is built and programmed to fly in forest conditions with complete onboard computation. Challenging on this small-size drone is the use of low-quality lightweight sensors and processor. The processor only weighs 10 grams, and the depth camera weighs 8 grams. Unique on this small drone is the 3D path planning fully computed onboard and the implementation of a new type of depth camera.";"";"OPEN";"2024-1-22";"master thesis";"2025-02-12 23:15:24.910";"autonomous navigation,downscaling,drone";"A. Zwanenburg; D. Benders; M. Wisse; S. Hamaza";"";"author; graduation committee member; mentor"
"uuid:411c4c11-8401-48e1-8977-4051d81c27f9";"https://resolver.tudelft.nl/uuid:uuid:411c4c11-8401-48e1-8977-4051d81c27f9";"Drones' Tactile Navigation using Biomimetic Vibrissal Sensors";"Drones Tactile Navigation using Biomimetic Vibrissal Sensors.";"This study explores the potential of biomimetic vibrissal sensors for tactile navigation in aerial robotics. Inspired by the sophisticated sensory system of rodents, we developed a non-intrusive, whisker-based tactile sensor system integrated into a drone platform. The system enables real-time detection and navigation through complex environments by emulating the tactile perception capabilities of natural whiskers. Our approach includes a novel platform design for easy sensor integration, a preprocessing solution to mitigate signal distortion as well as a simple static calibration set-up to estimate normal contact distances. The effectiveness of the system was validated through contour following tasks, where the whisker sensors provided feedback for precise navigation along surfaces with varying orientations. Results demonstrate that our system can estimate normal distances and wall orientations with sufficient accuracy, despite challenges such as lateral slip. This research highlights the potential of whisker-inspired sensors in enhancing the tactile sensing capabilities of aerial robots, offering significant advantages over traditional tactile sensors in terms of weight, power consumption, and operational flexibility in diverse environmental conditions. ";"";"OPEN";"2024-9-11";"master thesis";"2025-12-11 13:30:25.411";"";"K. Masania; M.H. Yoganarasimhan; S. Hamaza";"";"author; graduation committee member; mentor"
"uuid:6d26bb58-9188-42eb-bccc-b8a823c538d9";"https://resolver.tudelft.nl/uuid:uuid:6d26bb58-9188-42eb-bccc-b8a823c538d9";"Autonomous Ceiling-Following Using Biomimetic Vibrissal Sensors on a Quadrotor";"Autonomous Ceiling Following Using Biomimetic Vibrissal Sensors on a Quadrotor.";"Low visibility in hard-to-reach environments, such as natural caves and tunnels, poses challenges for exploration due to the limited effectiveness of traditional sensors, such as cameras and distance sensors. Nature offers a solution to this problem embedded in the body of nocturnal animals in the form of vibrissal sensors, whiskers. In this study, we take inspiration from this principle and develop artificial biomimetic whiskers to aid quadrotors' navigation. Specifically, we design and control a whiskered drone for ceiling contour-following tasks, enabling tactile tracing of rugged ceilings while mitigating aerodynamic disturbances like the ""ceiling effect"". The proposed whiskered drone design allows for multiple whiskers in various orientations, providing real-time tactile feedback to guide the ceiling-following controller. Flight experiments validate the system's effectiveness in navigating both smooth and rugged ceilings, demonstrating the potential for whisker-based tactile navigation and future autonomy.";"";"OPEN";"2024-10-24";"master thesis";"2025-02-12 22:01:36.235";"Ceiling-following,Drone,Vibrissal Sensors";"J. Jovanova; N.W.M. de Krom; S. Hamaza";"";"author; graduation committee member; mentor"
"uuid:4e4e333d-643f-43b9-99cb-650d697f5baa";"https://resolver.tudelft.nl/uuid:uuid:4e4e333d-643f-43b9-99cb-650d697f5baa";"ADAPT: A 3 Degrees of Freedom Reconfigurable Force Balanced Parallel Manipulator for Aerial Applications";"ADAPT: A 3 Degrees of Freedom Reconfigurable Force Balanced Parallel Manipulator for Aerial...";"In this work, we present the ADAPT, a novel reconfigurable force-balanced parallel manipulator with pantograph legs for spatial motions applied underneath a drone. The reconfigurable aspect allows different motion-based 3-DoF operation modes like translational, rotational, mixed, planar without disassembly. For the purpose of this study, the manipulator is used in translation mode only. A kinematic model is developed and validated for the manipulator. The design and motion capabilities are also validated both by conducting dynamics simulations of a simplified model on MSC ADAMS, and experiments on the physical setup.<br/>The force-balanced nature of this novel design decouples the motion of the manipulator’s end-effector from the base, zeroing the reaction forces, making this design ideally suited for aerial manipulation in unmanned aerial vehicles (UAVs) applications, or generic floating-base applications.";"";"OPEN";"2022-9-29";"master thesis";"2025-07-17 19:11:32.201";"Aerial Manipulation,Configurable Robot,Mechanism Design,Parallel Robot,Reactionless Force Balancing";"J.L. Herder; Kartik  Suryavanshi; S. Hamaza; V. van der Wijk";"";"author; coach; mentor"
"uuid:21b4203a-abbb-47d7-bbd5-df042d8d7b53";"https://resolver.tudelft.nl/uuid:uuid:21b4203a-abbb-47d7-bbd5-df042d8d7b53";"Vision-guided Quadrotor Perching on Imperfectly Cylindrical Structures";"";"The design of aerial robots capable of perching poses significant challenges, from requiring pilots to master precise manoeuvres, to devising hardware and software capable of adapting to diverse perch structures and complex field environments. The Slapper drone presented in this paper tackles these challenges through three main innovations. First, a lightweight, vision-based system for autonomous perch detection using onboard flight hardware detects (imperfect) cylindrical objects found in both natural and artificial environments. Second, an onboard flight planning algorithm autonomously handles the detection, approach and perching flight phases, removing the need for a pilot. Third, a completely passive gripper utilises bistable shell structures to allow for perching on general long narrow features without any precise control inputs or power consumption. This design was successfully validated through both simulation and multiple indoor flights to result in reliable autonomous quadrotor perching in real-world environments. ";"";"OPEN";"2023-9-29";"master thesis";"2025-07-17 11:57:08.627";"";"S. Hamaza; S.A. McGinley";"";"author; mentor"
"uuid:338ecfab-95f5-4968-87b5-2bd5bdb62917";"https://resolver.tudelft.nl/uuid:uuid:338ecfab-95f5-4968-87b5-2bd5bdb62917";"Tether-Inertial Localization for Drones on Mars";"Tether Inertial Localization for Drones on Mars.";"Recent developments in planetary exploration have shown the potential of Unmanned Aerial Vehicles (UAVs), such as the Ingenuity helicopter that provided valuable mapping data. However, limited payload capabilities constrain the flight times and compute available for localization which restrict their applicability. By providing a tethered connection, issues such as battery and computational constraints are offloaded to the base rover. At the same time, the cable can be exploited for non-drifting localization. This work presents a novel Tether-Inertial Localization approach that uses tether length, and angle measurements to estimate the UAV pose relative to its base. The method combines a computationally efficient analytical catenary model with Gaussian Process (GP) residual error compensation. This accounts for systematic sensor inaccuracies and model limitations under dynamic conditions. Experimental validation across circular, triangular, and figure-eight trajectories with tether lengths up to 4.5 m spanning 41 minutes of flight time with only the tether based estimate as position feedback, demonstrates estimation errors of 0.073 m average RMSE for the analytical model alone and 0.049 m average RMSE with GP-enhancement. With this, we provide an alternative localization method to conventional vision or GNSS-based methods, providing similar accuracies for Tethered UAVs.";"";"OPEN";"2025-11-24";"master thesis";"2025-11-14 13:12:05.912";"Localization,Space Robotics,System engineering,Tethered robot,Tethers,UAV,UAV-UGV Collaboration,hardware-in-the-loop test";"A. Bredenbeck; D.I. van Loon; J.M. Prendergast; L. Puck; S. Hamaza";"";"author; graduation committee member; mentor"
"uuid:ca95c8cb-8df3-4d43-9d17-c7b7f54eb1ea";"https://resolver.tudelft.nl/uuid:uuid:ca95c8cb-8df3-4d43-9d17-c7b7f54eb1ea";"Evaluating Dynamic Environment Difficulty for Obstacle Avoidance Benchmarking";"";"Dynamic obstacle avoidance remains a crucial research area for autonomous systems, such as Micro Aerial Vehicles (MAVs) and service robots. <br/>Efforts to develop dynamic collision avoidance techniques in unknown environments have proliferated in recent years. While these methods exhibit impressive and reliable performance in simpler environments, their efficacy in more challenging settings remains an area ripe for enhancement. The difficulty of these environments arises from a multitude of factors, and currently, no standardized approach exists to quantify this complexity. Additionally, to fairly compare different dynamic collision avoidance strategies, it's essential to assess them in environments with a similar degree of difficulty. Therefore, devising a metric capable of accurately gauging the intricacy of dynamic environments becomes imperative.<br/><br/><br/>Building on this context, this master's thesis endeavors to fill this critical gap through three contributions: 1) The establishment and validation of map difficulty metrics that represent the difficulty of dynamic environments, 2) The introduction of a robust benchmarking pipeline to critically validate the representativeness of the proposed metrics and evaluate various collision avoidance strategies, and 3) The provision of a framework for comparative analysis of different planning strategies, utilizing the introduced map difficulty metric. <br/><br/>The proposed survivability metric effectively captures environmental complexity. Its validity is evidenced by a notable correlation with the success rates of typical collision avoidance methods, with over 1.7 million collision avoidance trials on over six hundred maps, securing a Spearman's Rank correlation coefficient (SRCC) of over 0.9.  This metric serves as an indispensable tool for facilitating fair comparisons in this dynamic research domain. More importantly, it offers valuable insights for the future refinement and improvement of dynamic collision avoidance strategies, making a contribution to the continuous advancement of autonomous systems.";"";"OPEN";"2023-8-30";"master thesis";"2025-02-19 14:12:15.239";"Benchmark Study,Dynamic Collision Avoidance,Measurement";"G. Chen; J. Alonso-Mora; M. SHI; M. Wisse; S. Hamaza";"";"author; graduation committee member; mentor"
"uuid:9a295d44-1e95-4911-a4a2-4a96c498fe79";"https://resolver.tudelft.nl/uuid:uuid:9a295d44-1e95-4911-a4a2-4a96c498fe79";"Design of an inherently fully dynamically balanced aerial manipulator with omnidirectional workspace";"";"Drones are increasingly used nowadays, primarily for visual inspection tasks facilitated by onboard cameras.  The field of aerial manipulation tries to expand the capabilities of drones by attaching a manipulator, enabling physical interaction. Unfortunately, the usability of aerial manipulators is hindered by disturbances resulting from the movements of the manipulator.  These disturbances, including reaction forces and a shifting centre of mass, not only affect manipulation accuracy but also pose safety risks by potentially destabilizing the drone. In this thesis, a design is presented that addresses this challenge by leveraging the theory of dynamic balance. <br/>A new design approach of making a manipulator fly, instead of the common approach of mounting a manipulator arm to a drone was used. This new approach avoids interference with the drone's components, allowing to focus on the design of the manipulator arm. Furthermore, it made it possible to create a manipulator which can manipulate above, to the side and underneath itself. This makes the presented manipulator arm more versatile than common aerial manipulators whose workspace is mostly located only above or below the drone. The kinematics, workspace and balance conditions of the manipulator arm are presented. Furthermore, the design's workspace is optimised while the mass of the manipulator is minimized in a bilevel optimisation. Finally, the design is validated both by simulation and measurements performed with the built prototype.<br/>The design presented is the first inherently fully dynamically balanced manipulator with omnidirectional workspace which can be used for aerial manipulation.<br/>";"";"OPEN";"2024-2-27";"master thesis";"2024-10-11 11:21:28.913";"Aerial Manipulation,Bilevel Optimisation,Full Dynamic Balance,Inherent Dynamic Balance,Manipulator,Mechanism Design,UAM";"A.H. Bom; J.F.L. Goosen; J.L. Herder; S. Hamaza; V. van der Wijk";"";"author; graduation committee member; mentor"
"uuid:41222049-fb57-4f26-9b9e-85939af9fa63";"https://resolver.tudelft.nl/uuid:uuid:41222049-fb57-4f26-9b9e-85939af9fa63";"Sensorless Impedance Control for Curved Surface Inspections Using the Omni-Drone Aerial Manipulator";"Sensorless Impedance Control for Curved Surface Inspections Using the Omni Drone Aerial Manipulator.";"In this thesis, we develop a novel aerial manipulator system with an omni-directional workspace. The system comprises of a quadrotor platform equipped with a rotating five-bar linkage and serves the purpose of demonstrating the ability to perform contour tracing tasks on complex shapes, whilst airborne. In order to remove the dependency on additional force sensors and keep the design lightweight, an onboard force estimation scheme is implemented based on the generalized momentum of the system, using the torque feedback from the manipulator's motors. The computed force estimate feeds in a position-based impedance controller with the purpose of maintaining continuous contact through the manipulator's end-effector as the system traces contours of unknown curved geometry. Results demonstrate the estimator's ability to track the applied forces, while the impedance controller shows adequate contour following. The preliminary results obtained on both stationery and flight experiments validate this approach and show potential for aerial contact inspections of more complex structures.";"";"OPEN";"2022-9-19";"master thesis";"2025-02-21 05:05:07.562";"";"H. Abu-Jurji; S. Hamaza";"";"author; mentor"
"uuid:ada45454-c19a-4fba-b842-62efd2320a6a";"https://resolver.tudelft.nl/uuid:uuid:ada45454-c19a-4fba-b842-62efd2320a6a";"System Identification of the Delfly Nimble";"";"Flapping wing micro air vehicles (FWMAV's) are a subcategory of unmanned aerial vehicle which use flapping wings for thrust generation. The high agility and maneuverability of FWMAV's are very favorable attributes, making them more applicable in cluttered spaces. A tailless FWMAV called the Delfly Nimble has been developed at the Delft University of Technology. Due to the inherent instability of the tailless design an active controller is required to ensure safe and stable flight of the drone. In previous research, models have been developed for the longitudinal dynamics of the Delfly Nimble. In this paper, a grey-box state-space model of the lateral body dynamics in hover conditions is identified using system identification techniques. The parameters which needed to be estimated were stability and control derivatives, and they were obtained with a least-squares approach. Free-flight experiments were performed to generate the identification and validation data. A doublet train was used in the identification experiments, with the gains of the controller adjusted in such a way that maximum excitation was acquired. The identified model has been validated with various maneuvers. These included doublets, 112-maneuvers, maneuvers using coupled inputs, and maneuvers with sideways flight. The resulting model is able to predict the state derivatives of most maneuver accurately, reaching accuracies of over 90% for maneuvers close to hover. Moreover, in closed-loop configuration it is able to simulate the state response accurately, with accuracies of over 85% for maneuvers close to hover, and remains stable, making it applicable for controller design and stability analysis. Finally, based on the model the inherent instability of the lateral body dynamics was also confirmed, for there are eigenvalues with positive real parts.";"";"OPEN";"2020-12-11";"master thesis";"2025-04-29 16:17:52.072";"FWMAV,closed-loop identification,free flight data,grey-box modeling,lateral body dynamics,system identification";"C.C. de Visser; D.A. Olejnik; E. Mooij; G.C.H.E. de Croon; K.V. Bains; M. Karasek; S.F. Armanini";"";"author; graduation committee member; mentor"
"uuid:717e7e15-94c3-47ac-a348-12f5c2275aa2";"https://resolver.tudelft.nl/uuid:uuid:717e7e15-94c3-47ac-a348-12f5c2275aa2";"A minimal longitudinal dynamic model of a tailless flapping wing robot";"";"Tailless flapping wing micro air vehicles (FWMAVs) have<br/>the potential of providing efficient flight at small scale,<br/>with considerable agility. However, this agility also brings<br/>significant control challenges, which are exacerbated by<br/>the fact that the aerodynamics and dynamics of flapping<br/>wing robots are still only partly understood.<br/>In this article, we propose a novel, minimal dynamic<br/>model that is not only validated with experimental data,<br/>but also able to predict the consequences of various important<br/>design changes. Specifically, the model captures<br/>the flapping cycle averaged longitudinal dynamics of a<br/>tailless flapping wing robot, taking into account the main<br/>aerodynamic effects. The model is validated for airspeeds<br/>up to 3.5 m/s (when the forward velocity starts to approximate<br/>the wing velocities). It successfully predicts the effects<br/>of changes to the center of mass and flight at different<br/>pitch angles. Hence, the presented model forms an<br/>important step in accelerating the control design of flapping<br/>wing robots - which can now be done to a greater<br/>extent in simulation. In order to illustrate this, we have<br/>used the model to improve our control design, resulting in<br/>a change of the maximal stable speed of the tailless DelFly<br/>Transformer from 4 m/s to 7 m/s.";"";"OPEN";"2018-3-15";"master thesis";"2024-08-09 01:32:04.154";"";"G.C.H.E. de Croon; K.M. Kajak; M. Karasek; Q. P. Chu";"";"author; mentor"
